Medicare Advantage Monthly Capitation Rates for 2021 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2021 Rate,Parts A&B 3.5% Bonus 2021 Rate,Parts A&B 0% Bonus 2021 Rate,Parts A&B ESRD 2021 Rate
05040,CALIFORNIA,CALAVERAS,"1,125.54","1,108.66","1,069.26","8,877.52"
05050,CALIFORNIA,COLUSA,"1,013.13",998.66,964.89,"8,877.52"
05060,CALIFORNIA,CONTRA COSTA,"1,047.83","1,032.11",995.44,"8,877.52"
05070,CALIFORNIA,DEL NORTE,"1,026.59","1,026.59","1,026.59","8,877.52"
05080,CALIFORNIA,EL DORADO,"1,060.65","1,044.74","1,007.62","8,877.52"
05090,CALIFORNIA,FRESNO,"1,051.97","1,023.28",956.34,"8,877.52"
05100,CALIFORNIA,GLENN,"1,026.96","1,026.96","1,018.67","8,877.52"
05110,CALIFORNIA,HUMBOLDT,"1,014.35","1,005.37",973.67,"8,877.52"
05120,CALIFORNIA,IMPERIAL,883.06,883.06,883.06,"8,877.52"
05130,CALIFORNIA,INYO,"1,282.39","1,263.15","1,218.27","8,877.52"
05140,CALIFORNIA,KERN,"1,030.59","1,015.86",981.51,"8,877.52"
05150,CALIFORNIA,KINGS,975.37,961.43,928.92,"8,877.52"
05160,CALIFORNIA,LAKE,"1,127.82","1,110.90","1,071.43","8,877.52"
05170,CALIFORNIA,LASSEN,"1,044.28","1,028.62",992.07,"8,877.52"
05200,CALIFORNIA,LOS ANGELES,"1,100.94","1,084.43","1,045.89","8,877.52"
05210,CALIFORNIA,LOS ANGELES,"1,100.94","1,084.43","1,045.89","8,877.52"
05300,CALIFORNIA,MADERA,"1,056.94","1,029.95",966.98,"8,877.52"
05310,CALIFORNIA,MARIN,"1,107.41","1,090.80","1,052.04","8,877.52"
05320,CALIFORNIA,MARIPOSA,"1,139.59","1,122.50","1,082.61","8,877.52"
05330,CALIFORNIA,MENDOCINO,"1,051.76","1,051.76","1,036.02","8,877.52"
05340,CALIFORNIA,MERCED,994.30,994.30,994.30,"8,877.52"
05350,CALIFORNIA,MODOC,"1,055.18","1,039.35","1,002.42","8,877.52"
05360,CALIFORNIA,MONO,"1,254.66","1,235.84","1,191.93","8,877.52"
05370,CALIFORNIA,MONTEREY,"1,078.21","1,062.04","1,024.30","8,877.52"
05380,CALIFORNIA,NAPA,"1,066.00","1,050.40","1,014.00","8,877.52"
05390,CALIFORNIA,NEVADA,"1,047.37","1,033.40",998.45,"8,877.52"
05400,CALIFORNIA,ORANGE,"1,027.49","1,012.45",977.37,"8,877.52"
