Medicare Advantage Monthly Capitation Rates for 2021 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2021 Rate,Parts A&B 3.5% Bonus 2021 Rate,Parts A&B 0% Bonus 2021 Rate,Parts A&B ESRD 2021 Rate
44070,TENNESSEE,CANNON,"1,036.15","1,021.35",986.81,"7,323.10"
44080,TENNESSEE,CARROLL,946.06,946.06,946.06,"7,323.10"
44090,TENNESSEE,CARTER,"1,034.62","1,008.21",946.57,"7,323.10"
44100,TENNESSEE,CHEATHAM,"1,015.83",988.12,923.48,"7,323.10"
44110,TENNESSEE,CHESTER,977.11,977.11,966.82,"7,323.10"
44120,TENNESSEE,CLAIBORNE,976.59,976.59,976.59,"7,323.10"
44130,TENNESSEE,CLAY,"1,025.93","1,011.78",978.76,"7,323.10"
44140,TENNESSEE,COCKE,977.67,973.68,944.92,"7,323.10"
44150,TENNESSEE,COFFEE,"1,037.35","1,022.53",987.95,"7,323.10"
44160,TENNESSEE,CROCKETT,978.12,978.12,969.43,"7,323.10"
44170,TENNESSEE,CUMBERLAND,977.11,977.11,977.11,"7,323.10"
44180,TENNESSEE,DAVIDSON,"1,069.36","1,043.44",979.65,"7,323.10"
44190,TENNESSEE,DECATUR,981.99,967.96,935.23,"7,323.10"
44200,TENNESSEE,DEKALB,"1,004.18",991.22,960.99,"7,323.10"
44210,TENNESSEE,DICKSON,"1,059.35","1,044.21","1,008.90","7,323.10"
44220,TENNESSEE,DYER,"1,022.22","1,007.61",973.54,"7,323.10"
44230,TENNESSEE,FAYETTE,"1,027.46","1,014.21",983.27,"7,323.10"
44240,TENNESSEE,FENTRESS,"1,004.52",991.13,959.88,"7,323.10"
44250,TENNESSEE,FRANKLIN,999.84,985.56,952.23,"7,323.10"
44260,TENNESSEE,GIBSON,978.36,978.36,978.36,"7,323.10"
44270,TENNESSEE,GILES,"1,004.90",990.55,957.05,"7,323.10"
44280,TENNESSEE,GRAINGER,966.67,954.59,926.39,"7,323.10"
44290,TENNESSEE,GREENE,976.83,976.83,972.26,"7,323.10"
44300,TENNESSEE,GRUNDY,993.58,980.33,949.42,"7,323.10"
44310,TENNESSEE,HAMBLEN,977.96,977.96,977.96,"7,323.10"
44320,TENNESSEE,HAMILTON,"1,063.34","1,050.05","1,019.04","7,323.10"
44330,TENNESSEE,HANCOCK,"1,043.28","1,028.01",992.38,"7,323.10"
44340,TENNESSEE,HARDEMAN,975.08,975.08,975.08,"7,323.10"
44350,TENNESSEE,HARDIN,972.34,972.34,972.34,"7,323.10"
44360,TENNESSEE,HAWKINS,"1,029.25","1,004.55",946.91,"7,323.10"
44370,TENNESSEE,HAYWOOD,"1,014.06","1,000.98",970.44,"7,323.10"
44380,TENNESSEE,HENDERSON,986.04,986.04,971.47,"7,323.10"
44390,TENNESSEE,HENRY,974.89,974.89,967.73,"7,323.10"
44400,TENNESSEE,HICKMAN,"1,016.84","1,002.31",968.42,"7,323.10"
44410,TENNESSEE,HOUSTON,"1,028.95","1,014.25",979.95,"7,323.10"
44420,TENNESSEE,HUMPHREYS,"1,031.94","1,016.46",980.34,"7,323.10"
44430,TENNESSEE,JACKSON,"1,017.10","1,004.38",974.72,"7,323.10"
44440,TENNESSEE,JEFFERSON,975.13,975.13,966.34,"7,323.10"
44450,TENNESSEE,JOHNSON,970.40,970.40,960.45,"7,323.10"
44460,TENNESSEE,KNOX,"1,022.93",998.37,941.09,"7,323.10"
44470,TENNESSEE,LAKE,"1,061.15","1,045.23","1,008.09","7,323.10"
44480,TENNESSEE,LAUDERDALE,"1,008.24",993.84,960.23,"7,323.10"
44490,TENNESSEE,LAWRENCE,"1,018.20","1,004.63",972.95,"7,323.10"
44500,TENNESSEE,LEWIS,994.87,981.61,950.65,"7,323.10"
44510,TENNESSEE,LINCOLN,974.66,974.66,974.66,"7,323.10"
44520,TENNESSEE,LOUDON,"1,077.26","1,051.41",991.08,"7,323.10"
44530,TENNESSEE,MCMINN,974.65,974.65,974.65,"7,323.10"
44540,TENNESSEE,MCNAIRY,973.71,973.71,973.71,"7,323.10"
44550,TENNESSEE,MACON,"1,033.75","1,018.63",983.33,"7,323.10"
44560,TENNESSEE,MADISON,977.78,977.78,977.78,"7,323.10"
44570,TENNESSEE,MARION,990.36,977.16,946.34,"7,323.10"
44580,TENNESSEE,MARSHALL,993.48,979.29,946.17,"7,323.10"
44590,TENNESSEE,MAURY,"1,024.29","1,010.63",978.77,"7,323.10"
44600,TENNESSEE,MEIGS,977.06,977.06,959.05,"7,323.10"
44610,TENNESSEE,MONROE,973.97,973.97,973.97,"7,323.10"
44620,TENNESSEE,MONTGOMERY,929.36,929.36,929.36,"7,323.10"
44630,TENNESSEE,MOORE,987.89,975.15,945.40,"7,323.10"
44640,TENNESSEE,MORGAN,"1,003.93",991.38,962.10,"7,323.10"
44650,TENNESSEE,OBION,988.14,988.14,971.18,"7,323.10"
44660,TENNESSEE,OVERTON,"1,038.07","1,024.23",991.93,"7,323.10"
44670,TENNESSEE,PERRY,"1,031.48","1,016.74",982.36,"7,323.10"
44680,TENNESSEE,PICKETT,"1,026.57","1,011.91",977.69,"7,323.10"
44690,TENNESSEE,POLK,"1,014.80","1,002.12",972.52,"7,323.10"
44700,TENNESSEE,PUTNAM,977.86,977.86,976.98,"7,323.10"
44710,TENNESSEE,RHEA,973.90,973.90,973.90,"7,323.10"
44720,TENNESSEE,ROANE,980.75,980.75,979.94,"7,323.10"
44730,TENNESSEE,ROBERTSON,"1,042.81","1,014.37",948.01,"7,323.10"
44740,TENNESSEE,RUTHERFORD,"1,033.67","1,007.28",945.70,"7,323.10"
44750,TENNESSEE,SCOTT,996.24,982.96,951.97,"7,323.10"
44760,TENNESSEE,SEQUATCHIE,"1,011.32",997.83,966.37,"7,323.10"
44770,TENNESSEE,SEVIER,"1,053.49","1,028.20",969.21,"7,323.10"
44780,TENNESSEE,SHELBY,"1,011.76",998.27,966.79,"7,323.10"
44790,TENNESSEE,SMITH,985.97,972.37,940.64,"7,323.10"
44800,TENNESSEE,STEWART,991.53,991.53,967.37,"7,323.10"
44810,TENNESSEE,SULLIVAN,"1,032.93","1,008.13",950.29,"7,323.10"
44820,TENNESSEE,SUMNER,"1,050.61","1,021.96",955.10,"7,323.10"
44830,TENNESSEE,TIPTON,"1,005.26",990.90,957.39,"7,323.10"
44840,TENNESSEE,TROUSDALE,"1,054.42","1,039.36","1,004.21","7,323.10"
44850,TENNESSEE,UNICOI,"1,066.82","1,039.58",976.02,"7,323.10"
44860,TENNESSEE,UNION,"1,037.79","1,012.88",954.76,"7,323.10"
44870,TENNESSEE,VAN BUREN,"1,034.92","1,021.98",991.79,"7,323.10"
44880,TENNESSEE,WARREN,"1,007.31",992.92,959.34,"7,323.10"
44890,TENNESSEE,WASHINGTON,"1,043.68","1,018.63",960.18,"7,323.10"
44900,TENNESSEE,WAYNE,"1,010.39","1,010.39","1,005.99","7,323.10"
44910,TENNESSEE,WEAKLEY,978.66,964.68,932.06,"7,323.10"
44920,TENNESSEE,WHITE,"1,023.08","1,010.30",980.46,"7,323.10"
44930,TENNESSEE,WILLIAMSON,"1,069.68","1,054.53",994.03,"7,323.10"
44940,TENNESSEE,WILSON,"1,034.48","1,006.27",940.44,"7,323.10"
45000,TEXAS,ANDERSON,"1,027.58","1,012.17",976.20,"7,982.21"
45010,TEXAS,ANDREWS,"1,136.98","1,121.82","1,086.45","7,982.21"
45020,TEXAS,ANGELINA,998.49,984.22,950.94,"7,982.21"
45030,TEXAS,ARANSAS,"1,022.30","1,007.70",973.62,"7,982.21"
45040,TEXAS,ARCHER,"1,161.81","1,144.38","1,103.72","7,982.21"
45050,TEXAS,ARMSTRONG,"1,003.29","1,003.29","1,003.29","7,982.21"
45060,TEXAS,ATASCOSA,"1,020.62","1,006.04",972.02,"7,982.21"
45070,TEXAS,AUSTIN,"1,076.88","1,076.88","1,046.58","7,982.21"
45080,TEXAS,BAILEY,"1,195.27","1,177.34","1,135.51","7,982.21"
45090,TEXAS,BANDERA,"1,028.27","1,014.56",982.57,"7,982.21"
45100,TEXAS,BASTROP,"1,041.19","1,025.57",989.13,"7,982.21"
45110,TEXAS,BAYLOR,"1,248.85","1,230.12","1,186.41","7,982.21"
45113,TEXAS,BEE,"1,175.44","1,157.81","1,116.67","7,982.21"
45120,TEXAS,BELL,"1,070.63","1,055.34","1,019.65","7,982.21"
45130,TEXAS,BEXAR,"1,040.90","1,012.51",946.27,"7,982.21"
45140,TEXAS,BLANCO,"1,009.29","1,009.29",983.37,"7,982.21"
45150,TEXAS,BORDEN,"1,112.78","1,096.09","1,057.14","7,982.21"
45160,TEXAS,BOSQUE,"1,045.80","1,030.86",996.00,"7,982.21"
45170,TEXAS,BOWIE,"1,038.98","1,024.13",989.50,"7,982.21"
45180,TEXAS,BRAZORIA,"1,144.94","1,127.77","1,087.69","7,982.21"
45190,TEXAS,BRAZOS,"1,043.83","1,043.83","1,014.72","7,982.21"
45200,TEXAS,BREWSTER,996.61,984.15,955.09,"7,982.21"
45201,TEXAS,BRISCOE,"1,095.15","1,078.72","1,040.39","7,982.21"
45210,TEXAS,BROOKS,"1,236.41","1,217.86","1,174.59","7,982.21"
45220,TEXAS,BROWN,"1,048.69","1,033.34",997.53,"7,982.21"
45221,TEXAS,BURLESON,"1,127.56","1,110.65","1,071.18","7,982.21"
45222,TEXAS,BURNET,"1,053.75","1,037.94","1,001.06","7,982.21"
45223,TEXAS,CALDWELL,"1,129.09","1,112.15","1,072.64","7,982.21"
45224,TEXAS,CALHOUN,"1,188.24","1,170.42","1,128.83","7,982.21"
45230,TEXAS,CALLAHAN,"1,022.99","1,022.99","1,022.99","7,982.21"
45240,TEXAS,CAMERON,"1,032.14","1,018.38",986.27,"7,982.21"
45250,TEXAS,CAMP,"1,059.55","1,043.66","1,006.57","7,982.21"
45251,TEXAS,CARSON,"1,079.06","1,063.65","1,027.68","7,982.21"
45260,TEXAS,CASS,"1,099.51","1,083.02","1,044.53","7,982.21"
45270,TEXAS,CASTRO,"1,333.80","1,313.79","1,267.11","7,982.21"
45280,TEXAS,CHAMBERS,"1,252.66","1,233.87","1,190.03","7,982.21"
45281,TEXAS,CHEROKEE,"1,039.30","1,023.71",987.34,"7,982.21"
45290,TEXAS,CHILDRESS,"1,130.02","1,113.88","1,076.21","7,982.21"
45291,TEXAS,CLAY,"1,064.73","1,048.76","1,011.49","7,982.21"
45292,TEXAS,COCHRAN,"1,138.88","1,121.80","1,081.94","7,982.21"
45300,TEXAS,COKE,984.30,984.30,984.30,"7,982.21"
45301,TEXAS,COLEMAN,"1,160.69","1,143.28","1,102.66","7,982.21"
45310,TEXAS,COLLIN,"1,082.05","1,065.82","1,027.95","7,982.21"
45311,TEXAS,COLLINGSWORTH,"1,553.90","1,530.59","1,476.21","7,982.21"
45312,TEXAS,COLORADO,"1,251.29","1,232.52","1,188.73","7,982.21"
45320,TEXAS,COMAL,993.23,978.33,943.57,"7,982.21"
45321,TEXAS,COMANCHE,"1,077.84","1,062.07","1,025.26","7,982.21"
45330,TEXAS,CONCHO,"1,108.37","1,091.74","1,052.95","7,982.21"
45340,TEXAS,COOKE,"1,203.36","1,185.31","1,143.19","7,982.21"
45341,TEXAS,CORYELL,"1,060.43","1,044.92","1,008.71","7,982.21"
45350,TEXAS,COTTLE,"1,066.17","1,050.18","1,012.86","7,982.21"
45360,TEXAS,CRANE,"1,262.33","1,243.40","1,199.21","7,982.21"
45361,TEXAS,CROCKETT,"1,016.10","1,016.10","1,016.10","7,982.21"
45362,TEXAS,CROSBY,"1,106.43","1,089.83","1,051.11","7,982.21"
45370,TEXAS,CULBERSON,"1,312.64","1,292.95","1,247.01","7,982.21"
45380,TEXAS,DALLAM,"1,229.79","1,211.34","1,168.30","7,982.21"
45390,TEXAS,DALLAS,"1,118.26","1,101.49","1,062.35","7,982.21"
45391,TEXAS,DAWSON,"1,080.64","1,064.43","1,026.61","7,982.21"
45392,TEXAS,DEAF SMITH,"1,022.26","1,007.66",973.58,"7,982.21"
45400,TEXAS,DELTA,"1,122.45","1,105.61","1,066.33","7,982.21"
45410,TEXAS,DENTON,"1,087.72","1,071.40","1,033.33","7,982.21"
45420,TEXAS,DEWITT,"1,094.06","1,077.65","1,039.36","7,982.21"
45421,TEXAS,DICKENS,"1,133.63","1,116.63","1,076.95","7,982.21"
45430,TEXAS,DIMMIT,"1,020.91","1,005.97",971.11,"7,982.21"
45431,TEXAS,DONLEY,"1,037.54","1,021.98",985.66,"7,982.21"
45440,TEXAS,DUVAL,"1,253.82","1,235.01","1,191.13","7,982.21"
45450,TEXAS,EASTLAND,"1,106.16","1,089.57","1,050.85","7,982.21"
45451,TEXAS,ECTOR,999.60,985.32,952.00,"7,982.21"
45460,TEXAS,EDWARDS,"1,046.37","1,039.68","1,003.66","7,982.21"
45470,TEXAS,ELLIS,"1,047.60","1,031.89",995.22,"7,982.21"
45480,TEXAS,EL PASO,"1,077.55","1,050.55",986.32,"7,982.21"
45490,TEXAS,ERATH,"1,051.28","1,035.90","1,000.00","7,982.21"
45500,TEXAS,FALLS,"1,169.45","1,151.91","1,110.98","7,982.21"
45510,TEXAS,FANNIN,"1,156.60","1,139.25","1,098.77","7,982.21"
45511,TEXAS,FAYETTE,"1,119.02","1,102.23","1,063.07","7,982.21"
45520,TEXAS,FISHER,"1,196.43","1,178.48","1,136.61","7,982.21"
45521,TEXAS,FLOYD,"1,126.46","1,109.56","1,070.14","7,982.21"
45522,TEXAS,FOARD,"1,285.70","1,266.41","1,221.42","7,982.21"
45530,TEXAS,FORT BEND,"1,054.42","1,038.60","1,001.70","7,982.21"
45531,TEXAS,FRANKLIN,"1,144.41","1,127.24","1,087.19","7,982.21"
45540,TEXAS,FREESTONE,"1,095.40","1,078.97","1,040.63","7,982.21"
45541,TEXAS,FRIO,"1,017.85","1,003.31",969.38,"7,982.21"
45542,TEXAS,GAINES,"1,182.72","1,164.98","1,123.58","7,982.21"
45550,TEXAS,GALVESTON,"1,188.03","1,170.21","1,128.63","7,982.21"
45551,TEXAS,GARZA,"1,073.74","1,057.63","1,020.05","7,982.21"
45552,TEXAS,GILLESPIE,980.67,980.67,980.67,"7,982.21"
45560,TEXAS,GLASSCOCK,"1,103.17","1,086.62","1,048.01","7,982.21"
45561,TEXAS,GOLIAD,"1,126.38","1,109.48","1,070.06","7,982.21"
45562,TEXAS,GONZALES,"1,085.68","1,069.79","1,032.72","7,982.21"
45563,TEXAS,GRAY,"1,121.66","1,104.84","1,065.58","7,982.21"
45564,TEXAS,GRAYSON,"1,114.73","1,098.01","1,058.99","7,982.21"
45570,TEXAS,GREGG,"1,054.45","1,039.39","1,004.24","7,982.21"
45580,TEXAS,GRIMES,"1,107.24","1,090.63","1,051.88","7,982.21"
45581,TEXAS,GUADALUPE,"1,041.03","1,026.16",991.46,"7,982.21"
45582,TEXAS,HALE,"1,065.80","1,050.20","1,013.81","7,982.21"
45583,TEXAS,HALL,"1,063.48","1,047.53","1,010.31","7,982.21"
45590,TEXAS,HAMILTON,"1,080.35","1,064.14","1,026.33","7,982.21"
45591,TEXAS,HANSFORD,"1,226.33","1,207.94","1,165.01","7,982.21"
45592,TEXAS,HARDEMAN,"1,286.03","1,266.74","1,221.73","7,982.21"
45600,TEXAS,HARDIN,"1,043.54","1,027.89",991.36,"7,982.21"
45610,TEXAS,HARRIS,"1,178.22","1,160.55","1,119.31","7,982.21"
45620,TEXAS,HARRISON,"1,071.10","1,055.43","1,018.86","7,982.21"
45621,TEXAS,HARTLEY,"1,079.20","1,063.01","1,025.24","7,982.21"
45630,TEXAS,HASKELL,"1,159.63","1,142.24","1,101.65","7,982.21"
45631,TEXAS,HAYS,"1,041.00","1,025.77",990.22,"7,982.21"
45632,TEXAS,HEMPHILL,"1,036.49","1,021.68",987.13,"7,982.21"
45640,TEXAS,HENDERSON,"1,093.48","1,077.08","1,038.81","7,982.21"
45650,TEXAS,HIDALGO,981.34,967.32,934.61,"7,982.21"
45651,TEXAS,HILL,"1,072.21","1,072.21","1,041.96","7,982.21"
45652,TEXAS,HOCKLEY,"1,075.87","1,060.13","1,023.39","7,982.21"
45653,TEXAS,HOOD,"1,064.99","1,049.02","1,011.74","7,982.21"
45654,TEXAS,HOPKINS,"1,124.71","1,107.84","1,068.47","7,982.21"
45660,TEXAS,HOUSTON,"1,050.55","1,034.79",998.02,"7,982.21"
45661,TEXAS,HOWARD,"1,112.58","1,096.29","1,058.30","7,982.21"
45662,TEXAS,HUDSPETH,"1,130.05","1,115.93","1,082.97","7,982.21"
45670,TEXAS,HUNT,"1,188.70","1,170.87","1,129.27","7,982.21"
45671,TEXAS,HUTCHINSON,"1,151.19","1,133.92","1,093.63","7,982.21"
45672,TEXAS,IRION,983.86,983.86,983.86,"7,982.21"
45680,TEXAS,JACK,"1,138.74","1,121.66","1,081.80","7,982.21"
45681,TEXAS,JACKSON,"1,177.59","1,159.93","1,118.71","7,982.21"
45690,TEXAS,JASPER,"1,040.33","1,024.73",988.31,"7,982.21"
45691,TEXAS,JEFF DAVIS,"1,039.32","1,024.47",989.83,"7,982.21"
45700,TEXAS,JEFFERSON,"1,046.75","1,031.05",994.41,"7,982.21"
45710,TEXAS,JIM HOGG,"1,224.65","1,206.28","1,163.42","7,982.21"
45711,TEXAS,JIM WELLS,"1,210.44","1,192.28","1,149.92","7,982.21"
45720,TEXAS,JOHNSON,"1,071.81","1,055.73","1,018.22","7,982.21"
45721,TEXAS,JONES,"1,081.90","1,065.67","1,027.81","7,982.21"
45722,TEXAS,KARNES,"1,137.65","1,120.59","1,080.77","7,982.21"
45730,TEXAS,KAUFMAN,"1,090.75","1,074.39","1,036.21","7,982.21"
45731,TEXAS,KENDALL,"1,033.85","1,020.07",987.90,"7,982.21"
45732,TEXAS,KENEDY,"1,095.16","1,078.73","1,040.40","7,982.21"
45733,TEXAS,KENT,"1,136.57","1,119.52","1,079.74","7,982.21"
45734,TEXAS,KERR,994.70,994.70,972.06,"7,982.21"
45740,TEXAS,KIMBLE,"1,210.91","1,192.75","1,150.36","7,982.21"
45741,TEXAS,KING,"1,154.03","1,136.72","1,096.33","7,982.21"
45742,TEXAS,KINNEY,"1,078.97","1,063.56","1,027.59","7,982.21"
45743,TEXAS,KLEBERG,"1,104.98","1,088.41","1,049.73","7,982.21"
45744,TEXAS,KNOX,"1,128.89","1,111.96","1,072.45","7,982.21"
45750,TEXAS,LAMAR,"1,033.69","1,018.18",982.01,"7,982.21"
45751,TEXAS,LAMB,"1,004.32",990.46,958.14,"7,982.21"
45752,TEXAS,LAMPASAS,"1,362.69","1,342.25","1,294.56","7,982.21"
45753,TEXAS,LA SALLE,993.72,978.81,944.03,"7,982.21"
45754,TEXAS,LAVACA,"1,219.15","1,200.86","1,158.19","7,982.21"
45755,TEXAS,LEE,"1,161.14","1,143.72","1,103.08","7,982.21"
45756,TEXAS,LEON,"1,065.51","1,049.53","1,012.23","7,982.21"
45757,TEXAS,LIBERTY,"1,234.42","1,215.90","1,172.70","7,982.21"
45758,TEXAS,LIMESTONE,"1,102.24","1,085.71","1,047.13","7,982.21"
45759,TEXAS,LIPSCOMB,"1,026.72","1,012.05",977.83,"7,982.21"
45760,TEXAS,LIVE OAK,"1,061.36","1,045.44","1,008.29","7,982.21"
45761,TEXAS,LLANO,"1,058.61","1,042.73","1,005.68","7,982.21"
45762,TEXAS,LOVING,"1,034.38","1,018.86",982.66,"7,982.21"
45770,TEXAS,LUBBOCK,"1,040.15","1,025.29",990.62,"7,982.21"
45771,TEXAS,LYNN,"1,253.28","1,234.48","1,190.62","7,982.21"
45772,TEXAS,MCCULLOCH,"1,103.43","1,086.88","1,048.26","7,982.21"
45780,TEXAS,MCLENNAN,977.60,977.60,977.60,"7,982.21"
45781,TEXAS,MCMULLEN,"1,038.44","1,023.24",987.78,"7,982.21"
45782,TEXAS,MADISON,"1,181.74","1,164.01","1,122.65","7,982.21"
45783,TEXAS,MARION,"1,126.43","1,109.53","1,070.11","7,982.21"
45784,TEXAS,MARTIN,"1,334.23","1,314.22","1,267.52","7,982.21"
45785,TEXAS,MASON,"1,025.45","1,010.80",976.62,"7,982.21"
45790,TEXAS,MATAGORDA,"1,202.01","1,183.98","1,141.91","7,982.21"
45791,TEXAS,MAVERICK,"1,018.05","1,004.47",972.80,"7,982.21"
45792,TEXAS,MEDINA,"1,055.49","1,040.41","1,005.23","7,982.21"
45793,TEXAS,MENARD,"1,098.13","1,081.66","1,043.22","7,982.21"
45794,TEXAS,MIDLAND,"1,046.26","1,031.32",996.44,"7,982.21"
45795,TEXAS,MILAM,"1,212.87","1,194.68","1,152.23","7,982.21"
45796,TEXAS,MILLS,"1,091.49","1,075.12","1,036.92","7,982.21"
45797,TEXAS,MITCHELL,"1,241.37","1,222.75","1,179.30","7,982.21"
45800,TEXAS,MONTAGUE,"1,164.84","1,147.37","1,106.60","7,982.21"
45801,TEXAS,MONTGOMERY,"1,151.96","1,134.68","1,094.36","7,982.21"
45802,TEXAS,MOORE,"1,031.60","1,031.60","1,015.69","7,982.21"
45803,TEXAS,MORRIS,"1,060.90","1,044.99","1,007.86","7,982.21"
45804,TEXAS,MOTLEY,"1,091.25","1,074.88","1,036.69","7,982.21"
45810,TEXAS,NACOGDOCHES,"1,093.34","1,076.94","1,038.67","7,982.21"
45820,TEXAS,NAVARRO,"1,057.64","1,041.78","1,004.76","7,982.21"
45821,TEXAS,NEWTON,"1,053.65","1,038.60","1,003.48","7,982.21"
45822,TEXAS,NOLAN,"1,071.30","1,056.00","1,020.29","7,982.21"
45830,TEXAS,NUECES,"1,071.99","1,056.67","1,020.94","7,982.21"
45831,TEXAS,OCHILTREE,"1,158.54","1,141.16","1,100.61","7,982.21"
45832,TEXAS,OLDHAM,"1,066.61","1,053.96","1,018.32","7,982.21"
45840,TEXAS,ORANGE,"1,083.23","1,066.98","1,029.07","7,982.21"
45841,TEXAS,PALO PINTO,"1,121.42","1,104.60","1,065.35","7,982.21"
45842,TEXAS,PANOLA,"1,139.89","1,122.79","1,082.90","7,982.21"
45843,TEXAS,PARKER,"1,096.70","1,080.25","1,041.87","7,982.21"
45844,TEXAS,PARMER,"1,190.47","1,172.61","1,130.95","7,982.21"
45845,TEXAS,PECOS,"1,060.92","1,045.01","1,007.87","7,982.21"
45850,TEXAS,POLK,"1,072.12","1,056.04","1,018.51","7,982.21"
45860,TEXAS,POTTER,"1,053.81","1,039.38","1,004.23","7,982.21"
45861,TEXAS,PRESIDIO,799.39,789.40,766.08,"7,982.21"
45870,TEXAS,RAINS,"1,146.70","1,129.50","1,089.37","7,982.21"
45871,TEXAS,RANDALL,"1,043.50","1,028.59",993.81,"7,982.21"
45872,TEXAS,REAGAN,"1,189.66","1,171.82","1,130.18","7,982.21"
45873,TEXAS,REAL,"1,028.18","1,015.65",980.45,"7,982.21"
45874,TEXAS,RED RIVER,"1,057.89","1,042.02","1,005.00","7,982.21"
45875,TEXAS,REEVES,"1,043.60","1,028.69",993.90,"7,982.21"
45876,TEXAS,REFUGIO,"1,251.06","1,232.29","1,188.51","7,982.21"
45877,TEXAS,ROBERTS,"1,050.09","1,034.34",997.59,"7,982.21"
45878,TEXAS,ROBERTSON,"1,115.94","1,099.20","1,060.14","7,982.21"
45879,TEXAS,ROCKWALL,"1,081.06","1,064.84","1,027.01","7,982.21"
45880,TEXAS,RUNNELS,"1,166.73","1,149.23","1,108.39","7,982.21"
45881,TEXAS,RUSK,"1,098.86","1,082.38","1,043.92","7,982.21"
45882,TEXAS,SABINE,"1,123.07","1,106.22","1,066.92","7,982.21"
45883,TEXAS,SAN AUGUSTINE,"1,052.32","1,037.29","1,002.21","7,982.21"
45884,TEXAS,SAN JACINTO,"1,170.53","1,152.97","1,112.00","7,982.21"
45885,TEXAS,SAN PATRICIO,"1,063.58","1,048.38","1,012.93","7,982.21"
45886,TEXAS,SAN SABA,"1,055.71","1,039.87","1,002.92","7,982.21"
45887,TEXAS,SCHLEICHER,"1,229.31","1,210.87","1,167.84","7,982.21"
45888,TEXAS,SCURRY,"1,061.52","1,061.52","1,032.43","7,982.21"
45889,TEXAS,SHACKELFORD,"1,072.88","1,056.79","1,019.24","7,982.21"
45890,TEXAS,SHELBY,"1,032.85","1,017.36",981.21,"7,982.21"
45891,TEXAS,SHERMAN,"1,066.58","1,051.34","1,015.79","7,982.21"
45892,TEXAS,SMITH,"1,050.26","1,034.51",997.75,"7,982.21"
45893,TEXAS,SOMERVELL,"1,111.75","1,095.07","1,056.16","7,982.21"
45900,TEXAS,STARR,995.46,981.73,949.70,"7,982.21"
45901,TEXAS,STEPHENS,"1,146.76","1,129.56","1,089.42","7,982.21"
45902,TEXAS,STERLING,"1,023.27","1,023.27","1,023.27","7,982.21"
45903,TEXAS,STONEWALL,"1,284.98","1,265.71","1,220.73","7,982.21"
45904,TEXAS,SUTTON,"1,133.46","1,116.46","1,076.79","7,982.21"
45905,TEXAS,SWISHER,"1,240.39","1,221.78","1,178.37","7,982.21"
45910,TEXAS,TARRANT,"1,058.76","1,042.88","1,005.82","7,982.21"
45911,TEXAS,TAYLOR,965.88,965.88,965.88,"7,982.21"
45912,TEXAS,TERRELL,"1,023.46","1,008.49",973.54,"7,982.21"
45913,TEXAS,TERRY,"1,079.05","1,062.86","1,025.10","7,982.21"
45920,TEXAS,THROCKMORTON,"1,357.58","1,337.22","1,289.70","7,982.21"
45921,TEXAS,TITUS,"1,089.46","1,073.52","1,036.32","7,982.21"
45930,TEXAS,TOM GREEN,983.45,983.45,983.45,"7,982.21"
45940,TEXAS,TRAVIS,"1,036.21","1,020.67",984.40,"7,982.21"
45941,TEXAS,TRINITY,"1,133.07","1,116.07","1,076.42","7,982.21"
45942,TEXAS,TYLER,"1,047.23","1,032.27",997.36,"7,982.21"
45943,TEXAS,UPSHUR,"1,061.07","1,045.54","1,009.31","7,982.21"
45944,TEXAS,UPTON,"1,501.83","1,479.30","1,426.74","7,982.21"
45945,TEXAS,UVALDE,"1,003.19",988.86,955.42,"7,982.21"
45946,TEXAS,VAL VERDE,976.77,976.77,974.95,"7,982.21"
45947,TEXAS,VAN ZANDT,"1,089.78","1,073.43","1,035.29","7,982.21"
45948,TEXAS,VICTORIA,"1,071.55","1,055.48","1,017.97","7,982.21"
45949,TEXAS,WALKER,"1,095.42","1,078.99","1,040.65","7,982.21"
45950,TEXAS,WALLER,"1,160.14","1,142.74","1,102.13","7,982.21"
45951,TEXAS,WARD,"1,085.69","1,069.40","1,031.41","7,982.21"
45952,TEXAS,WASHINGTON,"1,009.94","1,009.94","1,009.94","7,982.21"
45953,TEXAS,WEBB,"1,009.96",995.54,961.87,"7,982.21"
45954,TEXAS,WHARTON,"1,203.78","1,185.72","1,143.59","7,982.21"
45955,TEXAS,WHEELER,"1,530.88","1,507.92","1,454.34","7,982.21"
45960,TEXAS,WICHITA,"1,051.98","1,036.20",999.38,"7,982.21"
45961,TEXAS,WILBARGER,"1,119.76","1,102.96","1,063.77","7,982.21"
45962,TEXAS,WILLACY,991.26,977.58,945.68,"7,982.21"
45970,TEXAS,WILLIAMSON,"1,034.61","1,019.09",982.88,"7,982.21"
45971,TEXAS,WILSON,"1,000.52",986.23,952.88,"7,982.21"
45972,TEXAS,WINKLER,"1,170.62","1,153.06","1,112.09","7,982.21"
45973,TEXAS,WISE,"1,165.22","1,147.74","1,106.96","7,982.21"
45974,TEXAS,WOOD,"1,084.59","1,068.32","1,030.36","7,982.21"
45980,TEXAS,YOAKUM,"1,172.49","1,154.90","1,113.87","7,982.21"
45981,TEXAS,YOUNG,"1,167.52","1,150.01","1,109.14","7,982.21"
